مبداء  -   مقصد,آذربايجان شرقي,آذربايجان غربي,اردبيل,اصفهان,البرز,ايلام,بوشهر,تهران,چهارمحال و بختياري,خراسان جنوبي,خراسان رضوي,خراسان شمالي,خوزستان,زنجان,سمنان,سيستان و بلوچستان,فارس,قزوين,قم,كردستان,كرمان,كرمانشاه,كهگيلويه و بويراحمد,گلستان,گيلان,لرستان,مازندران,مركزي,هرمزگان,همدان,يزد
آذربايجان شرقي,1799,356,138,20,3,0,0,440,0,2,14,12,13,23,0,2,13,4,19,37,1,8,0,7,27,1,13,2,0,7,3
آذربايجان غربي,366,1953,6,16,0,4,0,424,0,,4,0,11,23,0,0,4,2,8,211,0,20,,4,10,6,5,0,0,6,8
اردبيل,104,4,647,5,0,0,,399,,,8,,0,1,,0,0,0,1,0,0,0,0,2,91,0,33,0,0,0,1
اصفهان,19,24,9,3783,108,9,38,681,633,12,123,3,173,5,3,78,102,6,76,16,40,31,27,28,18,93,39,47,57,20,74
البرز,17,3,6,86,2,8,3,21,11,6,45,22,55,8,9,0,24,32,20,31,12,112,,38,89,79,90,24,1,78,19
ايلام,0,1,0,6,0,315,1,105,0,,1,0,45,0,0,0,0,0,2,0,0,61,,0,0,9,0,0,1,2,0
بوشهر,2,2,0,93,5,0,2397,146,20,0,17,0,259,1,124,37,373,1,1,0,70,9,17,1,4,5,5,9,247,19,12
تهران,416,518,334,703,8,135,84,657,87,38,304,146,225,283,309,115,170,270,216,267,83,274,26,336,759,436,1009,431,41,363,52
چهارمحال وبختياري,0,0,0,654,10,0,24,56,1741,0,10,,46,,1,9,34,0,10,3,8,1,11,0,0,2,4,0,13,0,7
خراسان جنوبي,0,,0,13,12,0,0,30,0,770,181,2,1,,1,78,4,0,0,0,7,0,,4,0,0,3,0,3,0,52
خراسان رضوي,7,3,6,67,53,2,2,236,5,193,11579,250,3,2,10,185,26,4,26,0,55,5,0,55,28,1,100,3,16,4,34
خراسان شمالي,1,0,0,4,42,0,0,119,,1,267,1010,0,,3,0,0,0,0,0,0,0,,8,0,0,3,1,0,0,0
خوزستان,10,10,0,190,54,41,139,185,33,0,19,,2144,1,0,6,120,4,1,8,10,32,91,3,9,60,5,4,53,10,21
زنجان,45,21,3,9,2,0,1,253,0,0,4,,2,415,0,0,4,32,32,18,0,1,0,5,19,0,3,1,1,2,1
سمنان,0,1,0,7,12,0,0,258,0,2,49,2,0,0,408,1,1,0,2,0,1,0,0,64,1,0,44,0,0,1,1
سيستان و بلوچستان,,0,,78,1,,0,54,1,78,190,0,,,0,2823,83,,0,0,204,0,0,63,,,0,0,71,0,84
فارس,14,8,0,100,26,1,789,197,21,4,91,3,134,2,59,100,4207,1,1,4,51,11,121,7,13,5,5,7,298,8,70
قزوين,8,2,2,29,21,0,0,322,1,0,12,0,3,44,1,7,2,1320,14,2,2,11,0,0,95,0,15,1,0,73,2
قم,20,8,3,41,22,2,0,362,0,1,49,0,1,35,1,30,2,4,402,0,3,7,0,2,10,1,8,173,0,22,0
كردستان,32,253,0,16,11,0,0,295,0,0,3,0,7,16,0,3,6,0,0,1326,0,78,,4,6,3,3,1,1,65,1
كرمان,3,7,0,45,15,1,18,115,9,6,85,0,117,0,0,268,159,1,1,1,4149,3,1,1,3,0,1,0,122,0,83
كرمانشاه,18,23,2,35,23,77,11,362,1,0,12,0,27,0,1,2,13,1,9,203,4,1174,0,8,9,157,6,24,5,187,6
كهگيلويه و بويراحمد,0,0,0,25,,0,40,34,12,0,4,,87,0,,0,95,,0,,2,0,318,,0,0,0,0,1,,3
گلستان,12,2,1,13,25,0,1,188,1,11,72,6,2,3,85,21,8,3,4,1,1,2,0,2402,23,3,417,4,0,0,6
گيلان,13,6,78,8,1,0,0,555,0,,6,0,6,43,0,0,5,42,3,2,1,2,,14,2566,0,140,2,2,1,2
لرستان,0,5,0,77,93,8,7,418,0,,3,0,67,,0,2,7,0,0,0,1,49,0,4,0,548,0,28,0,26,5
مازندران,12,3,12,33,28,0,1,989,2,15,83,4,40,1,47,11,8,9,22,1,8,3,0,184,143,0,1682,3,6,4,2
مركزي,3,0,1,45,29,1,1,427,1,0,18,0,4,2,1,1,7,2,120,0,3,5,0,0,10,14,5,431,0,24,1
هرمزگان,2,,0,80,0,0,56,36,11,3,23,,50,0,4,63,138,,0,,122,5,1,0,9,1,0,,447,5,22
همدان,8,7,1,26,79,1,15,373,0,0,11,0,17,4,1,3,7,20,26,89,1,123,0,0,6,33,7,37,5,1813,0
يزد,5,5,2,67,27,0,4,38,11,19,39,0,19,0,0,62,53,0,0,2,72,4,2,9,4,7,1,0,34,0,284